1	nan	nan	nan	nan	nan	nan
2	nan	nan	nan	nan	nan	nan
3	nan	nan	nan	nan	nan	nan
4	nan	nan	nan	nan	nan	nan
5	nan	nan	nan	nan	nan	nan
6	nan	nan	nan	nan	nan	nan
7	nan	nan	nan	nan	nan	nan
8	nan	nan	nan	nan	nan	nan
9	2007	7	27	  -5469158.3741	  -2518324.3662	   2100028.7375
10	2007	7	27	  -5469129.0202	  -2518299.2483	   2100135.2210
11	2007	7	27	  -5469115.8171	  -2518271.7655	   2100234.0316
12	2007	7	27	  -5469116.8654	  -2518209.9688	   2100318.6341
13	2007	8	1	  -5469110.5536	  -2518159.7225	   2100404.6470
14	2007	8	2	  -5469109.7420	  -2518145.4279	   2100420.1425
15	2007	8	1	  -5469127.2323	  -2518101.1526	   2100423.3715
16	nan	nan	nan	nan	nan	nan
17	2007	8	1	  -5469082.5816	  -2518111.1529	   2100514.1528
18	nan	nan	nan	nan	nan	nan
19	nan	nan	nan	nan	nan	nan
20	nan	nan	nan	nan	nan	nan
21	nan	nan	nan	nan	nan	nan
22	nan	nan	nan	nan	nan	nan
23	nan	nan	nan	nan	nan	nan
24	nan	nan	nan	nan	nan	nan
25	nan	nan	nan	nan	nan	nan
26	nan	nan	nan	nan	nan	nan
27	nan	nan	nan	nan	nan	nan
28	nan	nan	nan	nan	nan	nan
29	nan	nan	nan	nan	nan	nan
30	nan	nan	nan	nan	nan	nan
31	nan	nan	nan	nan	nan	nan
32	nan	nan	nan	nan	nan	nan
33	nan	nan	nan	nan	nan	nan
34	nan	nan	nan	nan	nan	nan
35	nan	nan	nan	nan	nan	nan
36	nan	nan	nan	nan	nan	nan
37	nan	nan	nan	nan	nan	nan
38	nan	nan	nan	nan	nan	nan
39	nan	nan	nan	nan	nan	nan
40	nan	nan	nan	nan	nan	nan
41	nan	nan	nan	nan	nan	nan
42	nan	nan	nan	nan	nan	nan
43	nan	nan	nan	nan	nan	nan
44	nan	nan	nan	nan	nan	nan
45	nan	nan	nan	nan	nan	nan
46	nan	nan	nan	nan	nan	nan
47	nan	nan	nan	nan	nan	nan
48	nan	nan	nan	nan	nan	nan
49	nan	nan	nan	nan	nan	nan
50	nan	nan	nan	nan	nan	nan
51	nan	nan	nan	nan	nan	nan
52	nan	nan	nan	nan	nan	nan
53	nan	nan	nan	nan	nan	nan
54	nan	nan	nan	nan	nan	nan
55	nan	nan	nan	nan	nan	nan
56	nan	nan	nan	nan	nan	nan
57	nan	nan	nan	nan	nan	nan
58	nan	nan	nan	nan	nan	nan
59	nan	nan	nan	nan	nan	nan
60	nan	nan	nan	nan	nan	nan
61	nan	nan	nan	nan	nan	nan
62	nan	nan	nan	nan	nan	nan
63	nan	nan	nan	nan	nan	nan
64	nan	nan	nan	nan	nan	nan
65	nan	nan	nan	nan	nan	nan
66	nan	nan	nan	nan	nan	nan
